_orig_index,transaction_id,timestamp,sender_name,sender_upi_id,receiver_id,receiver_upi_id,amount,status,user_id,hour,dayofweek,is_weekend,is_night,sender_location,receiver_location,upi_creation_date,upi_age_days,transaction_type,device_id,prev_device,device_changed,is_new_receiver,user_tx_count_30d,user_avg_amount_30d,user_std_amount_30d,unique_receivers_30d,pct_night_tx_30d,pct_weekend_tx_30d,amount_over_user_avg,z_amount_user,last_tx_time,time_since_last_tx_minutes,timestamp_f,velocity_1h,velocity_24h,is_large_tx,is_local_transfer,receiver_risk_score,amt_norm,risk_score,label
977,e949e3e7-b709-4f67-8311-6cf3320b0d5d,2024-06-22 22:47:19,Ivan Ramesh,6108886462@okicici,Vidur Bal,1844341953@okybl,2711.77,FAILED,u_2,22,5,1,0,Mumbai,Pune,2019-03-02,2451,P2M,dev_156,dev_156,0,1,100,5095.5969000000005,2916.8394336667425,100,0.26,0.27,0.532179066100739,-0.817263669876852,2024-06-22 22:35:29,11.833333333333334,2024-06-22 22:47:19,1,3,0,0,0.99,0.2482281895411225,0.3607026852935051,0
747,2a982266-01f8-44bf-ada6-b4bdbfb1d29b,2024-06-12 05:51:52,Dhanuk Ahuja,3563649289@okhdfcbank,Ranbir Tiwari,4395788776@okybl,8119.12,FAILED,u_3,5,2,0,1,Hyderabad,Mumbai,2016-10-30,3304,AutoPay,dev_120,dev_120,0,1,100,4943.1257000000005,2864.569620511268,100,0.31,0.27,1.642507290145887,1.108716044902113,2024-06-12 02:55:09,176.71666666666667,2024-06-12 05:51:52,0,4,0,0,0.99,0.7716314287641906,0.6962341429438857,1
97,6f001ec6-fea1-4981-9cd0-d5dec5f615cb,2024-07-02 03:34:59,Fateh Saha,9298362773@okicici,Hridaan Jaggi,4119467709@oksbi,2180.93,FAILED,u_2,3,1,0,1,Mumbai,Ahmedabad,2019-03-02,2451,QR_Payment,dev_156,dev_156,0,1,100,5095.5969000000005,2916.8394336667425,100,0.26,0.27,0.4280028507694548,-0.9992551754334964,2024-07-02 02:15:58,79.01666666666667,2024-07-02 03:34:59,0,3,0,0,0.99,0.1991200363179753,0.4386040163430889,0
390,4ebc9626-2a63-4946-be1e-1bc973ab6621,2024-06-19 06:44:42,Aradhya Basu,6219061905@okicici,Mohanlal Sani,5320355616@okhdfcbank,411.54,FAILED,u_4,6,2,0,0,Bengaluru,Kolkata,2020-10-29,1844,AutoPay,dev_167,dev_167,0,1,100,5156.7759,2982.6455867582176,100,0.21,0.23,0.0798056785675317,-1.5909486266377055,2024-06-19 03:47:30,177.2,2024-06-19 06:44:42,0,1,0,0,0.99,0.0349816096148922,0.2647417243267015,0
264,517f7c65-7c88-4b76-bb2f-a737f7cdd47a,2024-07-01 14:35:03,Divyansh Grover,5319587591@okicici,Aaryahi Talwar,5580756758@oksbi,914.2,SUCCESS,u_3,14,0,0,0,Hyderabad,Chennai,2016-10-30,3304,QR_Payment,dev_120,dev_120,0,1,100,4943.1257000000005,2864.569620511268,100,0.31,0.27,0.1849437087580144,-1.406468068065638,2024-07-01 14:22:42,12.35,2024-07-01 14:35:03,1,1,0,0,0.99,0.0845431576108061,0.2870444209248627,0
746,3b5d95f3-8751-4aaa-bd75-90ad2fc9e627,2024-06-06 14:00:46,Aaryahi Koshy,0646163327@okhdfcbank,Uthkarsh Chandra,5061341700@oksbi,1554.88,FAILED,u_0,14,3,0,0,Mumbai,Jaipur,2017-10-26,2943,P2P,dev_183,dev_183,0,1,100,4854.5877,2936.842814177423,100,0.25,0.27,0.3202908456427121,-1.123556114093294,2024-06-06 08:58:57,301.81666666666666,2024-06-06 14:00:46,0,2,0,0,0.99,0.148345129253867,0.3157553081642401,0
418,e78ec137-15a6-4db9-82b4-957dd2b53419,2024-06-13 15:31:13,Navya Ramachandran,6874182350@okaxis,Kavya Sharma,3685436445@okaxis,8121.36,SUCCESS,u_2,15,3,0,0,Mumbai,Delhi,2019-03-02,2451,P2P,dev_156,dev_156,0,1,100,5095.5969000000005,2916.8394336667425,100,0.26,0.27,1.593799540620295,1.037343045035677,2024-06-13 15:15:18,15.916666666666666,2024-06-13 15:31:13,1,3,0,0,0.99,0.7486708362791308,0.5859018763256089,0
108,9001cae7-62e0-437e-8be1-44711d2df846,2024-06-17 11:58:31,Kabir Mander,5129776577@okybl,Aradhya Ramakrishnan,2316974115@okhdfcbank,1734.06,FAILED,u_3,11,0,0,0,Hyderabad,Chennai,2016-10-30,3304,QR_Payment,dev_120,dev_120,0,1,100,4943.1257000000005,2864.569620511268,100,0.31,0.27,0.3508023272904424,-1.120261025259092,2024-06-17 07:44:37,253.9,2024-06-17 11:58:31,0,4,0,0,0.99,0.1627280909602136,0.3222276409320961,0
221,98c53353-3691-4687-a078-efb3e164fd88,2024-06-27 07:08:50,Armaan Khalsa,6770773280@okybl,Ranbir Thakkar,9929429249@okybl,3375.78,FAILED,u_8,7,3,0,0,Noida,Kolkata,2022-07-18,1217,QR_Payment,dev_106,dev_106,0,1,100,5237.1869,2985.2863893813683,100,0.19,0.32,0.6445788672073974,-0.6235270782129996,2024-06-27 06:38:13,30.616666666666667,2024-06-27 07:08:50,1,2,0,0,0.99,0.3012129004700428,0.3845458052115192,0
265,948d0721-b77f-431a-9c47-ea3fe10a8986,2024-06-05 00:23:36,Indrajit Dube,4792232361@okaxis,Kismat Walia,2032864599@okhdfcbank,1723.16,FAILED,u_2,0,2,0,1,Mumbai,Delhi,2019-03-02,2451,P2M,dev_156,dev_258,1,1,100,5095.5969000000005,2916.8394336667425,100,0.26,0.27,0.3381664667512913,-1.1561955934477095,2024-06-04 19:18:20,305.26666666666665,2024-06-05 00:23:36,0,1,0,0,0.99,0.1567716087297001,0.569547223928365,0
522,c76c01b4-cdab-4d7c-bb14-6c27c8268f52,2024-06-12 20:42:32,Khushi Kapadia,1803282774@oksbi,Aaina Desai,9730620184@okhdfcbank,5538.05,FAILED,u_2,20,2,0,0,Mumbai,Kolkata,2019-03-02,2451,P2M,dev_156,dev_156,0,1,100,5095.5969000000005,2916.8394336667425,100,0.26,0.27,1.086830474936738,0.1516892204943192,2024-06-12 14:15:47,386.75,2024-06-12 20:42:32,0,3,0,0,0.99,0.5096881234035221,0.4783596555315849,0
301,7f4000a8-12ca-4034-9290-b966de4ce180,2024-06-20 11:22:49,Ishaan Cheema,4381334435@okybl,Anahita Dara,1498236388@okybl,9314.85,SUCCESS,u_1,11,3,0,0,Jaipur,Chennai,2016-01-12,3596,AutoPay,dev_181,dev_181,0,1,100,5100.8478000000005,2820.3344769261944,100,0.22,0.28,1.8261376075902247,1.4941498019031862,2024-06-20 00:55:03,627.7666666666667,2024-06-20 11:22:49,0,1,0,0,0.99,0.8581938531793502,0.6351872339307075,0
613,54595f49-bc66-41c8-a276-0b1b732e6d43,2024-06-12 13:12:30,Dhanuk Hegde,8600598247@okybl,Priyansh Salvi,9224354996@okybl,7383.26,SUCCESS,u_8,13,2,0,0,Noida,Kolkata,2022-07-18,1217,QR_Payment,dev_106,dev_106,0,1,100,5237.1869,2985.2863893813683,100,0.19,0.32,1.409775923519213,0.7188834905868863,2024-06-12 12:25:27,47.05,2024-06-12 13:12:30,1,2,0,0,0.99,0.6619230123488843,0.5468653555569979,0
105,1750c2be-f969-4de7-8f16-eb948a25f4a3,2024-06-26 14:53:00,Ritvik Srinivasan,7108491641@okicici,Ritvik Bera,6283009447@okicici,2158.04,SUCCESS,u_2,14,2,0,0,Mumbai,Hyderabad,2019-03-02,2451,P2M,dev_244,dev_156,1,1,100,5095.5969000000005,2916.8394336667425,100,0.26,0.27,0.4235107371967529,-1.0071027105894597,2024-06-26 07:47:57,425.05,2024-06-26 14:53:00,0,3,0,0,0.99,0.1970024761731524,0.4876511142779185,0
502,62d0b55c-ec3d-4ee0-8b09-0a766708da18,2024-06-17 03:23:22,Ojas Vasa,2141278476@okaxis,Kismat Goel,3947052963@okybl,6614.41,SUCCESS,u_8,3,0,0,1,Noida,Jaipur,2022-07-18,1217,QR_Payment,dev_106,dev_106,0,1,100,5237.1869,2985.2863893813683,100,0.19,0.32,1.2629700113885625,0.4613370110481755,2024-06-16 12:11:59,911.3833333333332,2024-06-17 03:23:22,0,2,0,0,0.99,0.5927194306671173,0.6157237438002028,0
725,66c502c8-8319-49ff-88b2-5cb166df39ef,2024-06-16 12:24:11,Aniruddh Dugar,1593132747@okybl,Neysa Deshpande,4362541285@oksbi,8639.03,FAILED,u_1,12,6,1,0,Jaipur,Pune,2016-01-12,3596,QR_Payment,dev_181,dev_181,0,1,100,5100.8478000000005,2820.3344769261944,100,0.22,0.28,1.6936459069228362,1.2545257411653417,2024-06-16 07:22:57,301.2333333333333,2024-06-16 12:24:11,0,3,0,0,0.99,0.795737920061807,0.6070820640278132,0
935,9858a63b-924d-495a-b756-d751e1d7540d,2024-06-10 20:37:17,Rasha Lala,2820264046@okicici,Tarini Anand,4469822354@okicici,9636.95,FAILED,u_6,20,0,0,0,Noida,Bengaluru,2016-02-12,3565,AutoPay,dev_132,dev_132,0,1,100,4808.0435,2891.3403961905246,100,0.22,0.24,2.0043391866141937,1.6701272898764563,2024-06-10 14:51:59,345.3,2024-06-10 20:37:17,0,2,1,0,0.99,0.9421971971239048,0.6729887387057572,0
908,2fbc3da4-111d-4b05-9c69-b5d0a65cc34d,2024-06-06 16:41:54,Gatik Chawla,8027944778@okybl,Emir Boase,0744531293@okicici,183.33,FAILED,u_9,16,3,0,0,Jaipur,Pune,2019-09-11,2258,P2M,dev_169,dev_169,0,1,100,4661.1927000000005,2786.3493914808614,100,0.23,0.23,0.0393311351321452,-1.6070715014028267,2024-06-05 01:04:48,2377.1,2024-06-06 16:41:54,0,0,0,0,0.99,0.0159021098044878,0.2561559494120196,0
610,87b8e817-56c9-4430-bfd2-6bd32a08a8e6,2024-07-02 17:22:46,Prerak Lanka,1943928738@okaxis,Alisha Dara,7065501652@okybl,1475.17,SUCCESS,u_6,17,1,0,0,Noida,Kolkata,2016-02-12,3565,P2P,dev_132,dev_132,0,1,100,4808.0435,2891.3403961905246,100,0.22,0.24,0.3068129478639673,-1.152708793607012,2024-07-02 15:32:25,110.35,2024-07-02 17:22:46,0,3,0,0,0.99,0.1419917148287055,0.3128962716729174,0
441,22ee690b-f250-4f10-8dfa-3937fe9113bc,2024-06-15 06:26:45,Onkar Som,8535051337@oksbi,Nayantara Varughese,7641417668@okhdfcbank,829.08,SUCCESS,u_8,6,5,1,0,Noida,Mumbai,2022-07-18,1217,QR_Payment,dev_106,dev_106,0,1,100,5237.1869,2985.2863893813683,100,0.19,0.32,0.1583063609667422,-1.4766110600576174,2024-06-14 11:25:42,1141.05,2024-06-15 06:26:45,0,2,0,0,0.99,0.0719864434641823,0.281393899558882,0
756,0ae5a07c-1123-4819-b207-f5078ba09236,2024-06-11 02:40:44,Umang Tara,0281796704@oksbi,Jiya Ganesan,8252259912@okaxis,5009.63,SUCCESS,u_2,2,1,0,1,Mumbai,Delhi,2019-03-02,2451,AutoPay,dev_156,dev_156,0,1,100,5095.5969000000005,2916.8394336667425,100,0.26,0.27,0.9831291794327118,-0.0294726199213276,2024-06-10 22:07:19,273.4166666666667,2024-06-11 02:40:44,0,1,0,0,0.99,0.4608038450405965,0.5563617302682684,0
335,84cb84db-607b-4f91-b086-ba7640171132,2024-06-05 08:58:06,Aradhya Kalla,2162787085@okaxis,Yuvaan Chatterjee,4184102525@okaxis,9662.87,FAILED,u_2,8,2,0,0,Mumbai,Jaipur,2019-03-02,2451,P2M,dev_156,dev_156,0,1,100,5095.5969000000005,2916.8394336667425,100,0.26,0.27,1.896317583147851,1.565829454745991,2024-06-05 00:23:36,514.5,2024-06-05 08:58:06,0,2,1,0,0.99,0.8912763469320837,0.6500743561194376,0
173,84d331ab-25dd-4c1f-91ce-34d150cf1ce4,2024-06-22 08:45:46,Ritvik Sachdeva,3842469224@oksbi,Trisha Chada,1671358243@okaxis,4573.29,FAILED,u_3,8,5,1,0,Hyderabad,Bengaluru,2016-10-30,3304,P2M,dev_120,dev_120,0,1,100,4943.1257000000005,2864.569620511268,100,0.31,0.27,0.9251818134171296,-0.1291068987647758,2024-06-22 07:57:50,47.93333333333333,2024-06-22 08:45:46,1,3,0,0,0.99,0.4334877429906073,0.4440694843457733,0
157,8151c72b-44a9-499c-a148-13a9336f8a32,2024-06-12 15:46:08,Myra Bansal,1211629045@okaxis,Rati Boase,8884268107@okicici,2349.97,SUCCESS,u_1,15,2,0,0,Jaipur,Pune,2016-01-12,3596,AutoPay,dev_181,dev_355,1,1,100,5100.8478000000005,2820.3344769261944,100,0.22,0.28,0.4607018463752825,-0.9753728937136944,2024-06-12 04:45:11,660.95,2024-06-12 15:46:08,0,3,0,0,0.99,0.2145341812967264,0.4955403815835268,0
40,4a2e05a1-c027-4702-92a2-27e6a3e90f55,2024-06-13 20:41:11,Miraan Chandra,1695726240@okicici,Eva Lanka,3382655406@okicici,6856.11,SUCCESS,u_0,20,3,0,0,Mumbai,Bengaluru,2017-10-26,2943,P2M,dev_183,dev_183,0,1,100,4854.5877,2936.842814177423,100,0.25,0.27,1.4122950129395548,0.6815217655973201,2024-06-13 18:47:12,113.98333333333332,2024-06-13 20:41:11,0,2,0,0,0.99,0.6631104986560376,0.5473997243952169,0
487,8d05842c-b5d4-457d-9590-533482144e0a,2024-06-25 02:37:10,Shamik Majumdar,3175314518@okybl,Stuvan Mandal,4898817691@okybl,6375.45,SUCCESS,u_3,2,1,0,1,Hyderabad,Hyderabad,2016-10-30,3304,P2P,dev_120,dev_120,0,1,100,4943.1257000000005,2864.569620511268,100,0.31,0.27,1.289760848830981,0.5000137855767521,2024-06-25 00:44:58,112.2,2024-06-25 02:37:10,0,6,0,1,0.99,0.6053484990769737,0.6214068245846381,0
461,2858d7e6-f005-4505-ba99-752254d39fee,2024-06-30 18:30:20,Nirvi Bora,4797228733@okicici,Nitya Khanna,9475177994@okicici,4049.34,SUCCESS,u_7,18,6,1,0,Bengaluru,Bengaluru,2018-08-01,2664,P2P,dev_190,dev_190,0,1,100,5069.193,2817.2130350940874,100,0.23,0.25,0.7988135388021695,-0.3620077670008153,2024-06-29 20:29:49,1320.5166666666669,2024-06-30 18:30:20,0,1,0,1,0.99,0.3739183626613086,0.4172632631975889,0
178,5791708f-5953-4c3c-bb76-0c003ad2c9cb,2024-06-14 00:10:49,Yakshit Gara,8836773378@oksbi,Bhamini Choudhury,8563224108@okaxis,2725.07,SUCCESS,u_5,0,4,0,1,Chennai,Bengaluru,2023-10-01,777,QR_Payment,dev_149,dev_149,0,1,100,5063.6792,2805.432779333872,100,0.25,0.17,0.5381600792289212,-0.83360015510879,2024-06-13 19:26:27,284.3666666666667,2024-06-14 00:10:49,0,8,0,0,0.99,0.2510476095804702,0.4619714243112116,0
8,9a981fdf-f953-4fc6-8a7d-bfc26f1ea4dc,2024-06-30 08:43:40,Anvi Dalal,8893886778@okhdfcbank,Pari Lal,0762409234@okaxis,1563.3,FAILED,u_3,8,6,1,0,Hyderabad,Noida,2016-10-30,3304,AutoPay,dev_120,dev_120,0,1,100,4943.1257000000005,2864.569620511268,100,0.31,0.27,0.316257383396854,-1.17987207425483,2024-06-29 18:58:45,824.9166666666666,2024-06-30 08:43:40,0,3,0,0,0.99,0.146443775078545,0.3148996987853453,0
618,196cc76d-93af-4c27-834d-291c89181205,2024-06-15 00:50:12,Sumer Ganesh,4320015958@oksbi,Jayan Kuruvilla,2694335794@okicici,8934.42,FAILED,u_4,0,5,1,1,Bengaluru,Mumbai,2020-10-29,1844,AutoPay,dev_167,dev_167,0,1,100,5156.7759,2982.6455867582176,100,0.21,0.23,1.7325592912167156,1.266541394247867,2024-06-14 21:31:13,198.9833333333333,2024-06-15 00:50:12,0,3,0,0,0.99,0.8140814971658331,0.7153366737246248,1
381,bcb3f6db-30e3-4bc1-a1e5-b3918d795c0f,2024-06-15 09:59:34,Emir Dada,0069550330@okhdfcbank,Manjari Buch,4204114598@okybl,6980.5,FAILED,u_9,9,5,1,0,Jaipur,Pune,2019-09-11,2258,QR_Payment,dev_169,dev_169,0,1,100,4661.1927000000005,2786.3493914808614,100,0.23,0.23,1.4975780766374285,0.8323820792507852,2024-06-14 21:06:33,773.0166666666667,2024-06-15 09:59:34,0,1,0,0,0.99,0.7033125135410695,0.5654906310934813,0
87,507121d6-d581-49cc-afd7-149a86d29716,2024-06-15 11:43:46,Anya Bhatnagar,2665817032@okybl,Akarsh Jaggi,1176383390@okaxis,6665.93,SUCCESS,u_5,11,5,1,0,Chennai,Hyderabad,2023-10-01,777,P2P,dev_149,dev_251,1,1,100,5063.6792,2805.432779333872,100,0.25,0.17,1.3164202816567805,0.571124288488724,2024-06-14 16:46:30,1137.2666666666669,2024-06-15 11:43:46,0,2,0,0,0.99,0.6179156239997621,0.6770620307998929,1
688,d32ac054-7e08-40ca-b292-9fa16667f420,2024-06-24 00:18:57,Tejas Sehgal,6095225870@okaxis,Ishaan Bava,5751956169@okaxis,5080.62,FAILED,u_6,0,0,0,1,Noida,Chennai,2016-02-12,3565,AutoPay,dev_132,dev_132,0,1,100,4808.0435,2891.3403961905246,100,0.22,0.24,1.0566917705597525,0.0942734035602076,2024-06-23 23:20:22,58.583333333333336,2024-06-24 00:18:57,1,4,0,0,0.99,0.4954808870608933,0.571966399177402,0
793,46b84831-82c7-47f4-a4d2-71c8b01e9c27,2024-06-13 22:36:46,Vaibhav Dass,5847543259@oksbi,Nayantara Dasgupta,9563368079@okhdfcbank,386.84,SUCCESS,u_4,22,3,0,0,Bengaluru,Chennai,2020-10-29,1844,P2P,dev_167,dev_167,0,1,100,5156.7759,2982.6455867582176,100,0.21,0.23,0.0750158640644019,-1.5992298653171042,2024-06-13 17:47:03,289.71666666666664,2024-06-13 22:36:46,0,4,0,0,0.99,0.0327237147222611,0.2637256716250175,0
402,57468925-802b-4eb1-88bb-a9ed020e8052,2024-06-10 15:19:15,Divyansh Dugal,7460409540@oksbi,Lavanya Cherian,4257719666@okhdfcbank,7202.47,FAILED,u_9,15,0,0,0,Jaipur,Pune,2019-09-11,2258,P2P,dev_169,dev_169,0,1,100,4661.1927000000005,2786.3493914808614,100,0.23,0.23,1.5451989355545843,0.9120454555232166,2024-06-10 14:46:54,32.35,2024-06-10 15:19:15,1,5,0,0,0.99,0.7257607511631106,0.5755923380233997,0
20,46982aee-d402-46bd-96f1-2a181bdd9e78,2024-06-24 00:37:36,Samaira Mand,4726181930@okicici,Eva Chander,6348447507@okicici,5770.18,SUCCESS,u_2,0,0,0,1,Mumbai,Chennai,2019-03-02,2451,QR_Payment,dev_156,dev_156,0,1,100,5095.5969000000005,2916.8394336667425,100,0.26,0.27,1.132385491259643,0.2312719350313997,2024-06-23 06:47:44,1069.8666666666666,2024-06-24 00:37:36,0,3,0,0,0.99,0.5311625330329568,0.5880231398648306,0
100,823469c7-4370-4da0-9cad-8d201e7dabeb,2024-06-15 08:04:50,Amani Ratta,1572724981@oksbi,Samiha Mangat,1762863610@okaxis,1161.01,SUCCESS,u_3,8,5,1,0,Hyderabad,Mumbai,2016-10-30,3304,P2P,dev_120,dev_120,0,1,100,4943.1257000000005,2864.569620511268,100,0.31,0.27,0.2348736548951458,-1.3203085283453395,2024-06-14 19:02:24,782.4333333333333,2024-06-15 08:04:50,0,4,0,0,0.99,0.1080798875402663,0.2976359493931199,0
770,c62e062c-da3f-4476-aca0-190077a6c8f9,2024-07-03 12:34:32,Nehmat Rajagopalan,0278838090@oksbi,Yuvraj  Dey,6706292945@okaxis,4946.6,SUCCESS,u_1,12,2,0,0,Jaipur,Chennai,2016-01-12,3596,P2M,dev_181,dev_181,0,1,100,5100.8478000000005,2820.3344769261944,100,0.22,0.28,0.9697603600386272,-0.054691314545114,2024-07-03 10:22:44,131.8,2024-07-03 12:34:32,0,3,0,0,0.99,0.4545018496270606,0.4535258323321772,0
262,a92f7bb2-4bfe-478f-b7f5-0d3c7060ff8f,2024-06-27 03:11:31,Umang Andra,6819166195@okicici,Aarna Chad,1973003949@okybl,4173.68,SUCCESS,u_5,3,3,0,1,Chennai,Noida,2023-10-01,777,P2M,dev_149,dev_149,0,1,100,5063.6792,2805.432779333872,100,0.25,0.17,0.8242386285402443,-0.3172413206818388,2024-06-26 20:05:58,425.55,2024-06-27 03:11:31,0,2,0,0,0.99,0.3859036243508326,0.5226566309578746,0
238,faf020fb-feea-415e-91f5-ed8ba5c76d60,2024-06-08 14:58:05,Priyansh Doctor,6898542101@okhdfcbank,Khushi Ganguly,4387878239@okicici,2300.11,SUCCESS,u_0,14,5,1,0,Mumbai,Mumbai,2017-10-26,2943,AutoPay,dev_183,dev_183,0,1,100,4854.5877,2936.842814177423,100,0.25,0.27,0.4738013074779139,-0.8698040248080082,2024-06-08 08:22:35,395.5,2024-06-08 14:58:05,0,4,0,1,0.99,0.2207092025424396,0.3483191411440978,0
79,d8e85dc4-2f2d-4453-991c-dc0ef8191c1d,2024-06-22 05:55:05,Jayan Sahota,1254305403@okaxis,Aarna Srinivas,5033200366@okhdfcbank,2745.97,FAILED,u_0,5,5,1,1,Mumbai,Jaipur,2017-10-26,2943,AutoPay,dev_183,dev_183,0,1,100,4854.5877,2936.842814177423,100,0.25,0.27,0.5656443284430427,-0.7179879324221172,2024-06-21 19:41:01,614.0666666666667,2024-06-22 05:55:05,0,2,0,0,0.99,0.264003548873697,0.4678015969931636,0
535,6119d583-100b-43f8-8279-344b1a99093c,2024-06-30 13:20:20,Aaryahi Garg,0876566498@oksbi,Kanav Hari,7692155077@okhdfcbank,1836.59,FAILED,u_1,13,6,1,0,Jaipur,Mumbai,2016-01-12,3596,P2P,dev_181,dev_181,0,1,100,5100.8478000000005,2820.3344769261944,100,0.22,0.28,0.3600558322167432,-1.1574009489674522,2024-06-30 10:13:00,187.33333333333331,2024-06-30 13:20:20,0,3,0,0,0.99,0.1670901474654039,0.3241905663594318,0
